Team,SRS
Miami Heat,4.23
Boston Celtics,7.02
Milwaukee Bucks,3.22
Philadelphia 76ers,2.57
Toronto Raptors,2.38
Chicago Bulls,-0.38
Brooklyn Nets,0.82
Cleveland Cavaliers,2.04
Atlanta Hawks,1.55
Charlotte Hornets,0.53
New York Knicks,-0.01
Washington Wizards,-3.23
Indiana Pacers,-3.26
Detroit Pistons,-7.36
Orlando Magic,-7.6
Phoenix Suns,6.94
Memphis Grizzlies,5.37
Golden State Warriors,5.52
Dallas Mavericks,3.12
Utah Jazz,5.67
Denver Nuggets,2.16
Minnesota Timberwolves,2.53
Los Angeles Clippers,0.09
New Orleans Pelicans,-0.84
San Antonio Spurs,0.02
Los Angeles Lakers,-3.08
Sacramento Kings,-5.26
Portland Trail Blazers,-8.55
Oklahoma City Thunder,-7.9
Houston Rockets,-8.26
