Team,SRS,W/L%,PS/G,PA/G
Miami Heat,4.23,0.646,110,105.6
Boston Celtics,7.02,0.622,111.8,104.5
Milwaukee Bucks,3.22,0.622,115.5,112.1
Philadelphia 76ers,2.57,0.622,109.9,107.3
Toronto Raptors,2.38,0.585,109.4,107.1
Chicago Bulls,-0.38,0.561,111.6,112
Brooklyn Nets,0.82,0.537,112.9,112.1
Cleveland Cavaliers,2.04,0.537,107.8,105.7
Atlanta Hawks,1.55,0.524,113.9,112.4
Charlotte Hornets,0.53,0.524,115.3,114.9
New York Knicks,-0.01,0.451,106.5,106.6
Washington Wizards,-3.23,0.427,108.6,112
Indiana Pacers,-3.26,0.305,111.5,114.9
Detroit Pistons,-7.36,0.28,104.8,112.5
Orlando Magic,-7.6,0.268,104.2,112.2
Phoenix Suns,6.94,0.78,114.8,107.3
Memphis Grizzlies,5.37,0.683,115.6,109.9
Golden State Warriors,5.52,0.646,111,105.5
Dallas Mavericks,3.12,0.634,108,104.7
Utah Jazz,5.67,0.598,113.6,107.6
Denver Nuggets,2.16,0.585,112.7,110.4
Minnesota Timberwolves,2.53,0.561,115.9,113.3
Los Angeles Clippers,0.09,0.512,108.4,108.4
New Orleans Pelicans,-0.84,0.439,109.3,110.3
San Antonio Spurs,0.02,0.415,113.2,113
Los Angeles Lakers,-3.08,0.402,112.1,115.1
Sacramento Kings,-5.26,0.366,110.3,115.8
Portland Trail Blazers,-8.55,0.329,106.2,115.1
Oklahoma City Thunder,-7.9,0.293,103.7,111.8
Houston Rockets,-8.26,0.244,109.7,118.2
