pclass,survived,sex,age,sibsp,parch
0,1,1,0,29.0,0,0
1,1,1,1,0.9167,1,2
2,1,0,0,2.0,1,2
3,1,0,1,30.0,1,2
4,1,0,0,25.0,1,2
5,1,1,1,48.0,0,0
6,1,1,0,63.0,1,0
7,1,0,1,39.0,0,0
8,1,1,0,53.0,2,0
9,1,0,1,71.0,0,0
10,1,0,1,47.0,1,0
11,1,1,0,18.0,1,0
12,1,1,0,24.0,0,0
13,1,1,0,26.0,0,0
14,1,1,1,80.0,0,0
16,1,1,0,32.0,0,0
17,1,0,1,36.0,0,0
18,1,1,1,37.0,1,1
19,1,1,0,47.0,1,1
20,1,1,1,26.0,0,0
21,1,1,0,42.0,0,0
22,1,1,0,29.0,0,0
23,1,0,1,25.0,0,0
24,1,1,1,25.0,1,0
25,1,1,0,19.0,1,0
26,1,1,0,35.0,0,0
27,1,1,1,28.0,0,0
28,1,0,1,45.0,0,0
29,1,1,1,40.0,0,0
30,1,1,0,30.0,0,0
31,1,1,0,58.0,0,0
32,1,0,1,42.0,0,0
33,1,1,0,45.0,0,0
34,1,1,0,22.0,0,1
36,1,0,1,41.0,0,0
37,1,0,1,48.0,0,0
39,1,1,0,44.0,0,0
40,1,1,0,59.0,2,0
41,1,1,0,60.0,0,0
42,1,1,0,41.0,0,0
43,1,0,1,45.0,0,0
45,1,1,1,42.0,0,0
46,1,1,0,53.0,0,0
47,1,1,1,36.0,0,1
48,1,1,0,58.0,0,1
49,1,0,1,33.0,0,0
50,1,0,1,28.0,0,0
51,1,0,1,17.0,0,0
52,1,1,1,11.0,1,2
53,1,1,0,14.0,1,2
54,1,1,1,36.0,1,2
55,1,1,0,36.0,1,2
56,1,0,1,49.0,0,0
58,1,0,1,36.0,1,0
59,1,1,0,76.0,1,0
60,1,0,1,46.0,1,0
61,1,1,0,47.0,1,0
62,1,1,1,27.0,1,0
63,1,1,0,33.0,1,0
64,1,1,0,36.0,0,0
65,1,1,0,30.0,0,0
66,1,1,1,45.0,0,0
69,1,0,1,27.0,1,0
70,1,1,0,26.0,1,0
71,1,1,0,22.0,0,0
73,1,0,1,47.0,0,0
74,1,1,0,39.0,1,1
75,1,0,1,37.0,1,1
76,1,1,0,64.0,0,2
77,1,1,0,55.0,2,0
79,1,0,1,70.0,1,1
80,1,1,0,36.0,0,2
81,1,1,0,64.0,1,1
82,1,0,1,39.0,1,0
83,1,1,0,38.0,1,0
84,1,1,1,51.0,0,0
85,1,1,1,27.0,0,0
86,1,1,0,33.0,0,0
87,1,0,1,31.0,1,0
88,1,1,0,27.0,1,2
89,1,1,1,31.0,1,0
90,1,1,0,17.0,1,0
91,1,0,1,50.0,1,0
92,1,1,0,27.0,1,1
