month,day,births,above/below median,popularity
1,1,160369,below,0
1,2,169896,below,0
1,3,180036,below,0
1,4,182854,below,0
1,5,184145,below,0
1,6,186726,below,0
1,7,188277,below,0
1,8,185186,below,0
1,9,181511,below,0
1,10,183668,below,0
1,11,187006,below,0
1,12,188032,below,0
1,13,189202,below,0
1,14,192648,above,1
1,15,189346,below,0
1,16,186601,below,0
1,17,186186,below,0
1,18,188293,below,0
1,19,189261,below,0
1,20,190701,below,0
1,21,191610,above,1
1,22,189712,below,0
1,23,186670,below,0
1,24,186128,below,0
1,25,187920,below,0
1,26,188636,below,0
1,27,189881,below,0
1,28,190872,below,0
1,29,188092,below,0
1,30,185769,below,0
1,31,183931,below,0
2,1,186458,below,0
2,2,189721,below,0
2,3,190473,below,0
2,4,190433,below,0
2,5,189132,below,0
2,6,187124,below,0
2,7,185986,below,0
2,8,186741,below,0
2,9,188543,below,0
2,10,192034,above,1
2,11,192632,above,1
2,12,192948,above,1
2,13,185576,below,0
2,14,194510,above,1
2,15,188253,below,0
2,16,189281,below,0
2,17,191707,above,1
2,18,192839,above,1
2,19,190064,below,0
2,20,190051,below,0
2,21,186860,below,0
2,22,190061,below,0
2,23,190298,below,0
2,24,193160,above,1
2,25,194281,above,1
2,26,191623,above,1
2,27,187750,below,0
2,28,187812,below,0
3,1,189687,below,0
3,2,190022,below,0
3,3,194871,above,1
3,4,192862,above,1
3,5,191264,above,1
3,6,188875,below,0
3,7,188898,below,0
3,8,188729,below,0
3,9,187683,below,0
3,10,191415,above,1
3,11,191429,above,1
3,12,190497,below,0
3,13,186098,below,0
3,14,188761,below,0
3,15,186801,below,0
3,16,188147,below,0
3,17,193142,above,1
3,18,190940,below,0
3,19,189925,below,0
3,20,188654,below,0
3,21,188915,below,0
3,22,186688,below,0
3,23,187888,below,0
3,24,189002,below,0
3,25,190946,above,1
3,26,188913,below,0
3,27,187234,below,0
3,28,187786,below,0
3,29,186601,below,0
3,30,186537,below,0
3,31,188930,below,0
4,1,184953,below,0
4,2,189753,below,0
4,3,186117,below,0
4,4,187181,below,0
4,5,183473,below,0
4,6,185714,below,0
4,7,187594,below,0
4,8,188481,below,0
4,9,185995,below,0
4,10,184427,below,0
4,11,184398,below,0
4,12,183632,below,0
4,13,182379,below,0
4,14,187205,below,0
4,15,188116,below,0
4,16,186258,below,0
4,17,184176,below,0
4,18,185340,below,0
4,19,183308,below,0
4,20,183651,below,0
4,21,186257,below,0
4,22,187468,below,0
4,23,185749,below,0
4,24,183246,below,0
4,25,184090,below,0
4,26,183540,below,0
4,27,182878,below,0
4,28,186262,below,0
4,29,184530,below,0
4,30,184604,below,0
5,1,186051,below,0
5,2,184668,below,0
5,3,182809,below,0
5,4,183080,below,0
5,5,187492,below,0
5,6,187158,below,0
5,7,186358,below,0
