pix0,pix1,pix2,pix3,pix4,pix5,pix6,pix7,pix8,pix9,pix10,pix11,pix12,pix13,pix14,pix15,pix16,pix17,pix18,pix19,pix20,pix21,pix22,pix23,pix24,pix25,pix26,pix27,pix28,pix29,pix30,pix31,pix32,pix33,pix34,pix35,pix36,pix37,pix38,pix39,pix40,pix41,pix42,pix43,pix44,pix45,pix46,pix47,pix48,pix49,pix50,pix51,pix52,pix53,pix54,pix55,pix56,pix57,pix58,pix59,pix60,pix61,pix62,pix63,actual_digit,excerpted from http://yann.lecun.com/exdb/mnist/
0,0,6,16,13,11,1,0,0,0,16,15,12,16,1,0,0,3,16,7,0,13,6,0,0,4,16,0,0,10,8,0,0,8,16,0,0,14,6,0,0,5,16,7,9,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,6,12,12,6,0,0,0,0,11,16,16,13,0,0,0,0,12,16,16,8,0,0,0,0,8,16,16,12,0,0,0,2,13,16,16,12,0,0,0,1,16,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,15,13,1,0,0,0,0,0,14,14,4,0,0,0,0,0,1,4,12,0,0,0,0,0,0,6,12,0,0,0,0,0,0,11,10,0,0,0,0,0,1,16,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,2,10,12,16,8,0,0,0,4,8,5,13,16,0,0,0,0,0,7,15,7,0,0,0,0,6,16,10,0,0,0,0,0,0,5,16,11,0,0,0,0,0,0,6,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,0,1,12,6,0,0,0,0,0,11,15,2,0,0,0,0,8,16,6,1,2,0,0,4,16,9,1,15,9,0,0,13,15,6,10,16,6,0,0,12,16,16,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,12,16,16,7,0,0,0,3,16,10,2,2,0,0,0,4,16,5,0,0,0,0,0,3,16,12,12,9,1,0,0,1,15,16,12,15,9,0,0,0,0,0,3,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,2,13,10,0,0,0,0,0,10,13,0,0,0,0,0,0,16,6,0,0,0,0,0,3,16,8,2,0,0,0,0,7,16,16,16,11,0,0,0,4,16,2,4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,1,10,16,15,2,0,0,0,1,12,13,16,4,0,0,0,0,0,0,16,8,0,0,0,0,7,11,16,13,8,0,0,8,16,16,16,16,6,0,0,2,10,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,10,14,8,1,0,0,0,2,16,14,6,1,0,0,0,0,15,15,8,15,0,0,0,0,5,16,16,10,0,0,0,0,12,15,15,12,0,0,0,4,16,6,4,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,2,10,7,0,0,0,0,0,14,16,16,15,1,0,0,4,16,7,3,16,7,0,0,5,16,10,7,16,4,0,0,0,5,14,14,16,4,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,6,16,13,11,1,0,0,0,16,15,12,16,1,0,0,3,16,7,0,13,6,0,0,4,16,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,6,12,12,6,0,0,0,0,11,16,16,13,0,0,0,0,12,16,16,8,0,0,0,0,8,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,15,13,1,0,0,0,0,0,14,14,4,0,0,0,0,0,1,4,12,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,2,10,12,16,8,0,0,0,4,8,5,13,16,0,0,0,0,0,7,15,7,0,0,0,0,6,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,0,1,12,6,0,0,0,0,0,11,15,2,0,0,0,0,8,16,6,1,2,0,0,4,16,9,1,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,12,16,16,7,0,0,0,3,16,10,2,2,0,0,0,4,16,5,0,0,0,0,0,3,16,12,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,0,2,13,10,0,0,0,0,0,10,13,0,0,0,0,0,0,16,6,0,0,0,0,0,3,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
0,1,10,16,15,2,0,0,0,1,12,13,16,4,0,0,0,0,0,0,16,8,0,0,0,0,7,11,16,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,
