month,day,births,above/below median,from http://chmullig.com/2012/06/births-by-day-of-year/
1,1,160369,below,
1,2,169896,below,
1,3,180036,below,
1,4,182854,below,
1,5,184145,below,
1,6,186726,below,
1,7,188277,below,
1,8,185186,below,
1,9,181511,below,
1,10,183668,below,
1,11,187006,below,
1,12,188032,below,
1,13,189202,below,
1,14,192648,above,
1,15,189346,below,
1,16,186601,below,
1,17,186186,below,
1,18,188293,below,
1,19,189261,below,
1,20,190701,below,
1,21,191610,above,
1,22,189712,below,
1,23,186670,below,
1,24,186128,below,
1,25,187920,below,
1,26,188636,below,
1,27,189881,below,
1,28,190872,below,
1,29,188092,below,
1,30,185769,below,
1,31,183931,below,
2,1,186458,below,
2,2,189721,below,
2,3,190473,below,
2,4,190433,below,
2,5,189132,below,
2,6,187124,below,
2,7,185986,below,
2,8,186741,below,
2,9,188543,below,
2,10,192034,above,
2,11,192632,above,
2,12,192948,above,
2,13,185576,below,
2,14,194510,above,
2,15,188253,below,
2,16,189281,below,
2,17,191707,above,
2,18,192839,above,
2,19,190064,below,
2,20,190051,below,
2,21,186860,below,
2,22,190061,below,
2,23,190298,below,
2,24,193160,above,
2,25,194281,above,
2,26,191623,above,
2,27,187750,below,
2,28,187812,below,
2,29,46420,below,
2,30,98,below,
2,31,77,below,
3,1,189687,below,
3,2,190022,below,
3,3,194871,above,
3,4,192862,above,
3,5,191264,above,
3,6,188875,below,
3,7,188898,below,
3,8,188729,below,
3,9,187683,below,
3,10,191415,above,
3,11,191429,above,
3,12,190497,below,
3,13,186098,below,
3,14,188761,below,
3,15,186801,below,
3,16,188147,below,
3,17,193142,above,
3,18,190940,below,
3,19,189925,below,
3,20,188654,below,
3,21,188915,below,
3,22,186688,below,
3,23,187888,below,
3,24,189002,below,
3,25,190946,above,
3,26,188913,below,
3,27,187234,below,
3,28,187786,below,
3,29,186601,below,
3,30,186537,below,
3,31,188930,below,
4,1,184953,below,
4,2,189753,below,
4,3,186117,below,
4,4,187181,below,
4,5,183473,below,
4,6,185714,below,
4,7,187594,below,
4,8,188481,below,
4,9,185995,below,
4,10,184427,below,
4,11,184398,below,
4,12,183632,below,
4,13,182379,below,
4,14,187205,below,
4,15,188116,below,
4,16,186258,below,
4,17,184176,below,
4,18,185340,below,
4,19,183308,below,
4,20,183651,below,
4,21,186257,below,
4,22,187468,below,
4,23,185749,below,
4,24,183246,below,
4,25,184090,below,
4,26,183540,below,
4,27,182878,below,
4,28,186262,below,
4,29,184530,below,
4,30,184604,below,
4,31,128,below,
5,1,186051,below,
5,2,184668,below,
5,3,182809,below,
5,4,183080,below,
5,5,187492,below,
5,6,187158,below,
5,7,186358,below,
5,8,184950,below,
5,9,184354,below,
5,10,184927,below,
5,11,186088,below,
5,12,187962,below,
5,13,186466,below,
5,14,186836,below,
5,15,187141,below,
5,16,186458,below,
5,17,185069,below,
5,18,186955,below,
5,19,188870,below,
5,20,192277,above,
5,21,189032,below,
5,22,188540,below,
5,23,188844,below,
5,24,187565,below,
5,25,186477,below,
5,26,186310,below,
5,27,189526,below,
5,28,186866,below,
5,29,188162,below,
5,30,184047,below,
5,31,183882,below,
6,1,190059,below,
6,2,192186,above,
6,3,191331,above,
6,4,189779,below,
6,5,188275,below,
6,6,190874,below,
6,7,187242,below,
6,8,187278,below,
6,9,191371,above,
6,10,193255,above,
6,11,190945,above,
6,12,189850,below,
6,13,186857,below,
6,14,188978,below,
6,15,190019,below,
6,16,194334,above,
6,17,194544,above,
6,18,192651,above,
6,19,190759,below,
6,20,193251,above,
6,21,190047,below,
6,22,191825,above,
6,23,194022,above,
6,24,195901,above,
6,25,195637,above,
6,26,194159,above,
6,27,194093,above,
6,28,194519,above,
6,29,195266,above,
6,30,199264,above,
6,31,125,below,
